time,ST1,ST2,ST3,ST4
210.0166667,772.0650122,99.66488621,84.40920743,26.27405924
215.0166667,804.2438863,99.15009276,116.2042983,40.58077761
220.0166667,970.7389871,121.7941133,121.2021788,45.13055685
225.1333333,783.0299148,104.3946964,157.5941766,57.20945612
230.15,924.7400195,139.8996977,156.3712116,60.13821381
235.0166667,1052.387713,140.848694,160.0302135,63.21916116
240.0166667,889.9657909,133.6403556,177.4375539,67.37144809
245.0166667,1041.164899,182.6256264,180.2170504,72.55702615
250.0166667,834.5522608,144.4149164,183.6270806,73.39803704
255.0166667,996.7758143,215.4689958,203.4074664,77.74758023
260.0166667,908.0863159,171.5281486,192.2041791,77.16228146
265.0166667,962.6377607,188.6878983,176.5926083,69.05872732
270.0166667,1073.298692,215.7721484,181.8437051,68.54189169
275.0166667,968.6351735,178.6494963,143.9433161,54.70584502
280.0166667,1230.031968,246.085546,158.1738349,56.39030618
285.0166667,1265.660891,231.057021,141.9144805,49.57422987
290.0166667,987.2312437,177.7281477,144.143183,47.73687541
295.0166667,1189.524179,209.1928283,105.0782269,38.16968653
300.0166667,1225.453204,212.1168998,118.380391,40.93674216
305.0166667,1416.212814,198.2390787,103.7607567,38.99777871
310.0166667,1082.856016,161.5559691,109.2221225,35.92716779
315.0166667,1015.44858,131.802256,92.03075419,33.38641601
320.0166667,1123.347738,147.8653089,97.40166056,32.86805213
325.0166667,1191.377217,163.7554273,75.47503915,23.9105794
330.0166667,1368.220728,198.8661313,85.07496661,25.62041987
335.0166667,1144.326449,176.4783056,75.88602826,26.47758777
340.0166667,1480.875813,224.8943197,73.31200531,25.46141821
345.0166667,1034.798676,162.4503433,67.46167429,23.71304293
350.0166667,1233.299368,177.8080828,49.49382046,16.00729121
355.0166667,1133.661776,168.3280378,63.98717222,20.6680056
360.0166667,1059.320057,152.0437901,63.26016191,23.34796065
365.0166667,1250.122429,183.5697675,59.04502485,19.44428121
370.0166667,976.717964,149.6038201,63.89243272,20.95058527
375.0166667,1056.124021,162.0772977,91.07899993,22.68785196
380.0166667,892.9495907,138.7770562,101.7179133,24.16397567
385.0166667,844.3045903,128.24452,150.9738159,31.39402462
390.0166667,733.1799762,105.3252968,167.6866514,35.87187178
395.0166667,967.5725354,117.5100671,213.3918405,49.14524355
400.0166667,761.8211255,108.6052439,274.6597698,61.27055153
405.0166667,945.7529646,135.9514092,312.9181575,74.80727157
410.0166667,818.6061154,113.8786365,310.0108474,75.29601758
415.0166667,920.1786152,137.2562092,306.3882099,76.05329963
420.0166667,888.723609,132.7990773,344.7885579,82.08073178
425.0166667,1172.137488,174.6618397,348.9526366,83.12430723
430.0166667,720.8594664,100.7294586,375.0497362,91.42079264
435.0166667,785.4152471,124.6450654,349.8795248,82.32581394
440.0166667,912.6680221,150.6349434,349.8668291,83.05737441
445.0166667,1020.35906,163.4177894,270.1826051,71.915579
450.0166667,833.1797509,119.9743158,303.3104584,77.85778474
