time,Cit_mrna_Theta_1,Cit_foldedP_Theta_1,Cit_fluo_Theta_1,Cit_AU_Theta_1,Cit_mrna_Theta_2,Cit_foldedP_Theta_2,Cit_fluo_Theta_2,Cit_AU_Theta_2,Cit_mrna_Theta_3,Cit_foldedP_Theta_3,Cit_fluo_Theta_3,Cit_AU_Theta_3
165.0166667,6.170863151606925,310.6013979893574,163.08967555486376,11231.489626853612,6.122340357093265,305.1985460566584,162.06316782575567,10602.757305331721,6.310657247457674,330.3935974732417,168.11676722695884,13893.228157716634
170.0333333,6.226882119606183,322.5376569080006,168.14332557430967,11579.519123987911,6.1846570836528425,317.1422714742842,166.57492207649474,10897.932550784892,6.34577073843747,341.4330469708007,175.24376330295016,14482.20559403163
175.0166667,6.266102476042009,332.5686207610953,173.4484278550114,11944.865373113626,6.229071324514275,327.3319300224195,171.40237999250655,11213.762269356155,6.368662843783743,350.18740895500696,182.23072480852034,15059.610524707121
180.0166667,6.293561681841232,340.91740808193697,178.8202977595026,12314.809705296708,6.260726145172188,335.9381434137498,176.3712483521074,11538.84356948002,6.383587263326875,357.07188851884297,188.89320634268765,15610.200317608618
185.0333333,6.312786595607925,347.8126662705665,184.11802660835212,12679.648168610229,6.283287099159359,343.1487496213041,181.34391380756196,11864.173289317894,6.393317180842694,362.44996812245074,195.11467283407603,16124.34447387685
190.0166667,6.326246464300438,353.47184590140006,189.23833418714725,13032.268168998857,6.299366693008774,349.15069480752516,186.21536970018423,12182.881514302333,6.399660563062784,366.62875913731483,200.83032889448998,16596.68828007891
195.0166667,6.335670073538498,358.0926249947236,194.10920576697896,13367.710271244085,6.310826905658993,354.1197432121999,190.90854638720407,12489.926070268395,6.403796106875632,369.8615004459268,206.01343662605527,17025.02210702817
200.0166667,6.342267790843358,361.8493871778227,198.6838874011609,13682.754673323281,6.318994803686473,358.2152388222321,195.3696285778893,12781.786166683565,6.406492258353313,372.3533667721605,210.66422954586594,17409.36525265857
205.0333333,6.346887026394413,364.8927219139902,202.9355242412529,13975.55196355137,6.324816209943491,361.5780514187433,199.56368600931796,13056.17653968844,6.408250004180276,374.2684148027245,214.80122221292126,17751.247766569908
210.0166667,5.547380558026436,365.1461003924519,206.82579779503627,14243.463263983396,5.566034266969511,362.33920569648365,203.4478284427118,13310.29115507652,5.450919559738749,372.5830254305274,218.40861798450925,18049.364208710354
