x1,x2,x3,x4
2.78886,10.3763,0.812581,3.01245
2.90157,16.509,0.793914,3.02117
3.01933,15.1598,0.805792,3.06999
3.04233,16.5142,0.801856,3.08747
3.1636,20.2794,0.765496,2.86555
3.07485,16.5571,0.763264,2.81565
3.18597,23.9004,0.780931,2.89305
3.22365,18.7103,0.779541,2.90111
2.93049,18.6077,0.835566,3.08366
3.06496,23.3347,0.786187,2.97389
3.09705,24.646,0.773785,3.00761
3.11196,28.7375,0.787256,2.87931
3.13745,28.5347,0.784028,2.92038
3.06808,6.73211,0.792267,3.0719
3.07654,7.03274,0.815083,3.01991
3.23673,17.3948,0.776525,3.00966
3.02852,6.93981,0.799954,3.02495
2.95821,3.62086,0.774967,2.91411
2.9546,16.7948,0.827607,3.11719
2.89007,16.2223,0.820819,3.12701
3.1353,25.4993,0.770887,2.9292
2.91229,8.32373,0.789065,2.92642
2.91163,13.9967,0.81593,3.05477
3.2271,17.3823,0.777824,2.99689
2.92239,5.93564,0.781425,2.90955
2.99145,13.4397,0.778867,2.89957
3.02646,15.4581,0.775892,2.88794
3.04705,12.9695,0.775328,2.96549
3.06024,12.7804,0.77044,3.03179
3.08024,11.8193,0.785494,2.98456
3.07765,13.0062,0.780731,2.94314
2.99575,27.0351,0.767861,2.94111
3.07376,28.4597,0.739371,2.77956
3.02721,28.724,0.743686,2.76596
2.994,28.6692,0.734409,2.76018
3.17278,3.20791,0.802328,3.09632
2.9336,16.3822,0.832755,3.16026
3.00008,10.3263,0.757122,2.90713
2.97256,9.06371,0.734874,2.76545
3.13135,7.71538,0.751835,2.70217
3.01256,5.34819,0.780994,2.96472
3.16407,27.3574,0.771051,2.90514
3.24171,29.1403,0.781155,2.9645
3.09523,16.6211,0.77704,2.94877
3.09523,16.6211,0.77704,2.94877
3.06359,22.0916,0.824859,3.09795
3.04489,21.8736,0.8315,3.04286
3.12549,22.7382,0.821145,3.09679
2.92416,15.7584,0.832373,3.10103
2.91521,3.35846,0.779247,2.87481
3.37682,23.3969,0.810737,3.05465
2.80598,12.3395,0.795393,3.01924
2.80503,10.1866,0.782234,3.04518
2.83031,8.14055,0.779054,2.81005
2.85588,9.8902,0.764299,2.86555
3.17481,17.1752,0.766451,2.8783
2.87591,21.6377,0.767923,2.87985
3.10857,3.2999,0.77931,2.94929
3.11505,3.05463,0.781272,2.95652
2.78658,11.565,0.780297,2.92358
2.85331,10.438,0.782491,2.92801
3.24935,21.4347,0.744173,2.75777
3.08552,19.1641,0.726401,2.74978
2.89784,9.07563,0.758502,2.82353
2.86335,8.73779,0.734873,2.76886
3.2249,19.7784,0.832607,3.22274
3.30242,27.3704,0.870932,3.2867
3.31885,26.9579,0.868008,3.27422
2.84057,4.64522,0.908964,3.42345
3.31801,25.6824,0.870393,3.34565
2.98659,12.7606,0.725019,2.67925
3.01212,12.2101,0.820309,3.12977
3.03306,15.7118,0.830022,3.05934
2.98643,15.3998,0.817973,3.10715
