x1,x2,x3,x4
3.11136,13.9086,0.825716,3.1663
2.96035,12.1418,0.853126,3.22771
2.9544,14.2057,0.847194,3.21799
3.08322,10.9868,0.829642,3.15581
3.08782,11.2705,0.826881,3.16041
2.95809,6.84852,0.858649,3.31806
2.84131,10.0604,0.857074,3.23034
2.96298,7.78638,0.816279,3.08187
3.1381,16.5161,0.825648,3.16021
3.17175,14.1693,0.826494,3.14203
2.96205,11.9737,0.801764,3.01339
3.07581,14.6834,0.83734,3.19974
3.13129,16.3121,0.791599,3.01809
2.97888,10.7847,0.81497,3.07883
3.09901,12.182,0.799828,3.02656
3.11353,12.2969,0.803331,3.02977
3.02565,12.9488,0.802701,3.02448
2.91473,5.4872,0.844131,3.24056
2.85131,10.7467,0.837956,3.12659
3.07223,11.8422,0.829272,3.14396
3.05058,12.4604,0.824811,3.17654
3.0331,13.4926,0.832979,3.13064
3.01059,12.6298,0.810133,3.07183
2.9626,11.1448,0.855741,3.26095
3.03099,13.3601,0.841029,3.20347
3.01729,14.0667,0.836482,3.22932
2.97054,13.2566,0.83823,3.06764
2.97583,12.6698,0.826819,3.08564
3.05359,13.4593,0.824569,3.14709
2.9202,8.12237,0.842416,3.18243
2.95308,8.75785,0.851487,3.25109
2.93712,9.29182,0.851061,3.23416
2.97365,9.64043,0.858356,3.2324
2.95623,9.0852,0.855316,3.21091
3.08377,11.5143,0.83534,3.21773
3.06457,15.532,0.834916,3.12054
2.96109,10.4413,0.796649,3.03647
3.04382,11.9994,0.806889,2.99626
3.05836,12.2507,0.782178,2.97172
3.03681,12.8859,0.787263,2.95975
2.99786,13.4364,0.783494,2.93447
3.03992,12.3574,0.780549,2.92013
2.93161,11.1781,0.788641,3.01074
2.89464,6.97587,0.797361,2.94954
3.16925,17.1684,0.857861,3.26892
3.10252,14.841,0.870692,3.3008
2.90813,9.76659,0.824494,3.0831
3.17061,16.2383,0.760735,2.84307
3.00033,15.411,0.79481,2.96031
2.93018,7.78365,0.807939,3.07628
