x1,x2,x3,x4
3.20088,27.5482,0.739035,2.74045
3.25216,27.6917,0.73193,2.80824
3.22143,27.616,0.742236,2.77111
2.96603,28.5536,0.72061,2.64632
2.94153,26.2034,0.733522,2.68646
3.0113,25.6219,0.677517,2.33654
2.98765,22.3782,0.806784,3.12817
2.97739,19.4555,0.80096,3.11556
2.9831,20.2034,0.6818,2.57483
2.74228,20.0533,0.735865,2.79581
2.74125,20.1957,0.72238,2.73708
2.81969,20.1084,0.747374,2.69516
2.87878,24.5182,0.704421,2.69352
2.92873,19.1287,0.732763,2.73216
2.92873,19.1287,0.732763,2.73216
3.14053,19.9072,0.722872,2.68055
3.16459,21.3703,0.726749,2.67701
2.90048,8.78194,0.710486,2.58393
2.8844,8.73076,0.708623,2.59792
2.74146,10.376,0.700458,2.6115
3.00144,22.2761,0.701723,2.52764
2.80493,17.3526,0.745432,2.82103
3.02302,21.5603,0.69693,2.56808
2.80918,21.101,0.691996,2.55
3.07318,19.9503,0.689643,2.58878
2.76024,21.8026,0.721729,2.60378
3.05845,19.693,0.688685,2.54456
2.83003,20.831,0.752566,2.81743
3.01275,19.9996,0.733274,2.70645
3.02128,20.0635,0.728781,2.73675
2.95348,12.3019,0.717426,2.6776
2.80056,17.2374,0.678283,2.47397
2.82752,17.8303,0.679305,2.4504
3.05258,16.7101,0.678479,2.49496
2.73228,14.2132,0.775275,2.87462
3.05785,19.2862,0.735647,2.72538
2.97009,20.6618,0.709057,2.59364
2.83374,21.1155,0.712132,2.65915
2.8628,20.4554,0.73364,2.68962
2.86079,20.4993,0.680896,2.55116
2.82871,19.7846,0.668042,2.56104
2.66074,6.98616,0.752156,2.83306
2.90629,18.7274,0.758802,2.89776
2.93039,18.7618,0.767808,2.88917
2.85023,10.5593,0.765012,2.87202
2.78156,13.2548,0.792882,2.82265
2.92022,13.0631,0.774729,3.07332
3.01217,12.9132,0.786931,2.83213
2.69307,13.8843,0.675409,2.48282
2.69441,19.3782,0.756173,2.84689
3.15068,17.8599,0.753091,2.84233
2.86939,23.472,0.6775,2.44655
